Date,Open,High,Low,Close,Adj Close,Volume
2017-06-19,985.000000,1003.349976,985.000000,995.599976,957.975952,26965
2017-06-20,987.000000,999.200012,983.000000,990.599976,953.164856,13668
2017-06-21,987.650024,1007.000000,985.849976,998.900024,967.008423,35167
2017-06-22,1005.099976,1022.450012,987.250000,993.150024,961.441956,65197
2017-06-23,1001.000000,1002.500000,960.799988,966.150024,935.304077,79197
2017-06-27,985.000000,993.500000,971.599976,988.799988,957.230835,47195
2017-06-28,985.000000,1006.849976,984.150024,999.200012,967.298889,34716
2017-06-29,1012.000000,1012.000000,986.000000,988.900024,957.327759,96945
2017-06-30,988.900024,1002.799988,988.900024,999.500000,967.589233,19399
2017-07-03,1001.049988,1034.599976,997.349976,1027.099976,994.308044,327827
2017-07-04,1035.000000,1054.599976,1023.049988,1046.099976,1012.701416,1063949
2017-07-05,1055.500000,1100.949951,1051.449951,1094.699951,1059.749878,144961
2017-07-06,1094.500000,1136.550049,1094.500000,1107.900024,1072.528442,134052
2017-07-07,1120.000000,1133.000000,1085.050049,1090.650024,1055.829224,62201
2017-07-10,1100.000000,1100.000000,1010.000000,1054.349976,1020.688049,1067445
2017-07-11,1055.000000,1060.000000,1005.200012,1014.299988,981.916687,208806
2017-07-12,1033.800049,1040.000000,1006.000000,1032.300049,999.342102,61301
2017-07-13,1030.000000,1041.000000,1019.650024,1025.500000,992.759155,35851
2017-07-14,1028.000000,1034.400024,1014.299988,1030.400024,997.502747,198819
2017-07-17,1040.000000,1042.449951,1004.650024,1008.099976,975.914673,43195
2017-07-18,1010.299988,1018.000000,958.349976,963.700012,932.932190,79687
2017-07-19,980.000000,982.900024,961.549988,970.750000,939.757141,38222
2017-07-20,971.049988,978.799988,955.250000,960.549988,929.882751,35680
2017-07-21,955.000000,974.000000,954.900024,964.000000,933.222656,799897
2017-07-24,969.900024,977.000000,962.549988,964.000000,933.222656,449199
2017-07-25,980.000000,1000.599976,961.150024,997.200012,965.362671,85644
2017-07-26,1011.900024,1011.900024,976.000000,983.200012,951.809631,32734
2017-07-27,991.849976,996.750000,975.000000,981.299988,949.970337,35908
2017-07-28,978.000000,978.450012,967.000000,969.700012,938.740723,52048
2017-07-31,971.849976,1022.950012,965.000000,1018.200012,985.692261,235189
2017-08-01,1025.000000,1041.599976,1014.500000,1033.699951,1000.697266,140280
2017-08-02,1044.550049,1044.550049,1009.000000,1018.099976,985.595398,41489
2017-08-03,1019.000000,1028.500000,988.599976,996.099976,964.297729,68327
2017-08-04,1002.000000,1007.500000,984.000000,992.250000,960.570740,24588
2017-08-07,1002.000000,1005.000000,986.200012,989.849976,958.247253,22203
2017-08-08,993.099976,1006.400024,969.000000,970.400024,939.418335,50303
2017-08-09,970.549988,970.599976,934.599976,940.500000,910.472961,61260
2017-08-10,944.950012,956.450012,917.450012,936.150024,906.261780,50648
2017-08-11,920.000000,958.200012,897.549988,953.049988,922.622192,59835
2017-08-14,953.000000,983.750000,953.000000,973.900024,942.806580,37265
2017-08-16,982.500000,989.950012,954.099976,977.599976,946.388367,36890
2017-08-17,980.000000,999.000000,967.900024,975.200012,944.065002,49726
2017-08-18,967.400024,974.950012,955.450012,970.650024,939.660278,21362
2017-08-21,972.099976,987.599976,952.000000,959.250000,928.624329,33075
2017-08-22,966.000000,971.849976,952.450012,958.549988,927.946594,18069
2017-08-23,965.599976,979.500000,961.650024,972.299988,941.257690,15027
