Date,Close,Volume
19-06-2017,694.125,2225100
20-06-2017,694.724976,1879408
21-06-2017,693.575012,2989436
22-06-2017,698.150024,2256732
23-06-2017,688.099976,2441604
27-06-2017,685.150024,3336218
28-06-2017,678.025024,1655834
29-06-2017,677.825012,1873788
30-06-2017,674.299988,1909516
03-07-2017,683.224976,2047918
04-07-2017,677.575012,860360
05-07-2017,692.5,2433212
06-07-2017,688.025024,1561776
07-07-2017,688.0,1316700
10-07-2017,683.700012,866646
11-07-2017,695.075012,4146842
12-07-2017,688.349976,1472052
13-07-2017,685.200012,1589676
14-07-2017,687.775024,1307346
17-07-2017,692.299988,2626156
18-07-2017,690.075012,1645736
19-07-2017,691.200012,3795788
20-07-2017,696.724976,1804436
21-07-2017,693.025024,1401986
24-07-2017,694.474976,1161322
25-07-2017,694.900024,1441876
26-07-2017,706.75,2535586
27-07-2017,699.099976,3867130
28-07-2017,696.099976,803316
31-07-2017,701.650024,1021808
01-08-2017,714.625,3883480
02-08-2017,707.299988,952938
03-08-2017,708.25,1126038
04-08-2017,709.025024,4474648
07-08-2017,700.375,2987954
08-08-2017,700.0,1705654
09-08-2017,696.150024,1542222
10-08-2017,693.525024,1632346
11-08-2017,674.025024,2253020
14-08-2017,677.875,1370684
16-08-2017,685.599976,1489816
17-08-2017,683.5,1223074
18-08-2017,685.0,1357710
21-08-2017,689.325012,1405084
22-08-2017,687.325012,584698
23-08-2017,687.099976,1578484
24-08-2017,687.575012,1580092
28-08-2017,686.525024,2070446
29-08-2017,688.474976,1075712
30-08-2017,679.075012,2110352
31-08-2017,672.400024,3116004
01-09-2017,673.799988,2174602
04-09-2017,664.150024,814606
05-09-2017,662.325012,1547776
06-09-2017,658.275024,1298532
07-09-2017,669.974976,2328682
08-09-2017,647.700012,3938974
11-09-2017,640.099976,3330838
12-09-2017,650.375,2122904
13-09-2017,653.674988,4776058
14-09-2017,645.375,1431844
15-09-2017,647.125,1680374
18-09-2017,647.5,1302442
19-09-2017,647.375,975052
20-09-2017,646.224976,1676474
21-09-2017,645.724976,970210
22-09-2017,643.575012,1716992
25-09-2017,630.0,2290416
26-09-2017,623.575012,1314494
27-09-2017,616.0,1420550
28-09-2017,615.275024,3082168
29-09-2017,627.125,2433430
03-10-2017,632.150024,3570708
04-10-2017,644.375,2356486
05-10-2017,650.375,4212796
06-10-2017,651.5,1825894
09-10-2017,652.424988,835364
10-10-2017,652.549988,1387442
11-10-2017,659.724976,3285560
12-10-2017,669.075012,1648332
13-10-2017,662.650024,1083280
16-10-2017,684.299988,2340580
17-10-2017,686.674988,2047488
18-10-2017,685.275024,1196844
19-10-2017,687.875,350390
23-10-2017,683.525024,1199328
24-10-2017,675.325012,781906
25-10-2017,682.349976,1328304
26-10-2017,686.474976,3304178
27-10-2017,693.849976,1549084
30-10-2017,687.375,1126068
31-10-2017,672.400024,1599456
01-11-2017,675.375,3930716
02-11-2017,667.674988,1740658
03-11-2017,665.375,2168762
06-11-2017,683.075012,5150692
07-11-2017,676.875,4427324
08-11-2017,683.5,1371018
09-11-2017,680.650024,968514
10-11-2017,696.474976,5939800
13-11-2017,705.599976,6476230
14-11-2017,714.799988,3592110
15-11-2017,707.625,1994072
16-11-2017,706.974976,1744892
17-11-2017,708.375,2896880
20-11-2017,704.0,2529602
21-11-2017,708.0,1707526
22-11-2017,714.75,2879234
23-11-2017,709.325012,980022
24-11-2017,717.049988,1933116
27-11-2017,715.5,1735164
28-11-2017,717.5,1487160
29-11-2017,716.700012,1383574
30-11-2017,703.275024,5367350
01-12-2017,704.700012,2154686
04-12-2017,700.5,2925628
05-12-2017,694.099976,2599242
06-12-2017,683.724976,2369644
07-12-2017,689.775024,3113720
08-12-2017,694.075012,2399392
11-12-2017,709.125,2646642
12-12-2017,709.575012,2812240
13-12-2017,706.25,3787148
14-12-2017,715.799988,5505930
15-12-2017,741.700012,7105514
18-12-2017,760.724976,8530702
19-12-2017,778.150024,11347974
20-12-2017,770.875,9660028
21-12-2017,742.200012,6803736
22-12-2017,746.200012,2338232
26-12-2017,741.549988,3887128
27-12-2017,746.75,2523905
28-12-2017,749.950012,5643656
29-12-2017,751.099976,2055582
01-01-2018,744.650024,2476302
02-01-2018,752.900024,3020597
03-01-2018,754.900024,2256643
04-01-2018,756.0,1663380
05-01-2018,756.349976,1255982
08-01-2018,759.900024,2309604
09-01-2018,762.450012,1947163
10-01-2018,759.849976,1275821
11-01-2018,766.650024,2291617
12-01-2018,767.5,1363265
15-01-2018,759.200012,2127778
16-01-2018,746.700012,1611817
17-01-2018,745.349976,1940533
18-01-2018,759.25,2810014
19-01-2018,765.400024,2005133
22-01-2018,759.599976,934811
23-01-2018,769.049988,2775928
24-01-2018,755.400024,2080315
25-01-2018,757.799988,2878048
29-01-2018,764.349976,2074165
30-01-2018,764.900024,1648188
31-01-2018,763.049988,2242045
01-02-2018,798.75,6896060
02-02-2018,770.25,3783976
05-02-2018,760.5,2018332
06-02-2018,751.799988,5626253
07-02-2018,747.099976,1909559
08-02-2018,752.200012,3024010
09-02-2018,750.049988,2214895
12-02-2018,746.0,2662221
14-02-2018,746.950012,1207191
15-02-2018,749.349976,1652980
16-02-2018,743.75,1042980
19-02-2018,724.650024,1185926
20-02-2018,709.0,2981323
21-02-2018,708.400024,2290218
22-02-2018,721.950012,3325355
23-02-2018,718.650024,1648932
26-02-2018,735.400024,1525511
27-02-2018,739.799988,1429191
28-02-2018,728.349976,1814444
01-03-2018,732.549988,1831321
05-03-2018,739.599976,2170367
06-03-2018,719.900024,1763292
07-03-2018,707.799988,2343794
08-03-2018,726.650024,2500680
09-03-2018,728.5,2191343
12-03-2018,737.099976,1867680
13-03-2018,733.0,1823994
14-03-2018,728.200012,1366237
15-03-2018,734.849976,1249262
16-03-2018,740.75,4929069
19-03-2018,742.700012,2081202
20-03-2018,740.950012,1248986
21-03-2018,745.349976,2788242
22-03-2018,730.849976,1877037
23-03-2018,732.900024,2276332
26-03-2018,746.5,1890961
27-03-2018,744.900024,2422064
28-03-2018,738.900024,3301815
02-04-2018,748.049988,3567965
03-04-2018,770.099976,2500384
04-04-2018,756.549988,3295198
05-04-2018,774.599976,2224647
06-04-2018,771.950012,1194886
09-04-2018,786.200012,1813902
10-04-2018,777.599976,2193150
11-04-2018,789.0,1448946
12-04-2018,787.849976,1146053
13-04-2018,789.599976,2183881
16-04-2018,801.450012,2896629
17-04-2018,809.349976,4339790
18-04-2018,798.299988,1503151
19-04-2018,801.900024,2590266
20-04-2018,799.5,2561105
23-04-2018,824.299988,2751312
24-04-2018,838.549988,2872669
25-04-2018,853.849976,3602302
26-04-2018,858.150024,5461957
27-04-2018,862.700012,1087577
30-04-2018,873.299988,1137366
02-05-2018,863.150024,1341643
03-05-2018,865.099976,2126154
04-05-2018,854.299988,961238
07-05-2018,885.599976,1916654
08-05-2018,865.299988,1834833
09-05-2018,860.099976,1630905
10-05-2018,856.5,1369399
11-05-2018,869.099976,1304682
14-05-2018,852.650024,1492933
15-05-2018,847.049988,2060487
16-05-2018,853.099976,1559853
17-05-2018,849.0,1065979
18-05-2018,836.0,1983383
21-05-2018,825.950012,1670673
22-05-2018,830.200012,1937535
23-05-2018,831.799988,1315364
24-05-2018,843.049988,1394760
25-05-2018,857.700012,2069467
28-05-2018,849.950012,3096495
29-05-2018,870.25,4666224
30-05-2018,897.950012,8212884
31-05-2018,922.950012,9417129
01-06-2018,901.599976,3431462
04-06-2018,914.5,3364222
05-06-2018,901.299988,1836194
06-06-2018,914.299988,2102493
07-06-2018,920.299988,2668799
08-06-2018,911.650024,1335422
11-06-2018,916.849976,1747134
12-06-2018,917.599976,2032546
13-06-2018,917.650024,1353228
14-06-2018,922.049988,1385264
15-06-2018,909.450012,2619109
18-06-2018,913.900024,1496081
19-06-2018,891.400024,1878313
20-06-2018,904.400024,2671370
21-06-2018,883.599976,4202520
22-06-2018,908.200012,4589148
25-06-2018,905.599976,2984963
26-06-2018,898.0,2106484
27-06-2018,892.650024,2168303
28-06-2018,907.75,4493297
29-06-2018,897.700012,2441612
02-07-2018,886.650024,2180118
03-07-2018,894.200012,1406654
04-07-2018,900.099976,1457165
05-07-2018,912.349976,1935437
06-07-2018,924.950012,2998570
09-07-2018,932.75,2472960
10-07-2018,930.549988,1617650
11-07-2018,931.0,2732003
12-07-2018,915.799988,2173358
13-07-2018,906.700012,2296504
16-07-2018,900.349976,1901810
17-07-2018,922.450012,1791101
18-07-2018,902.450012,1442856
19-07-2018,913.0,2040980
20-07-2018,909.75,1667834
23-07-2018,910.400024,1179253
24-07-2018,920.400024,1982289
25-07-2018,910.099976,1433236
26-07-2018,913.599976,2785063
27-07-2018,909.849976,1658854
30-07-2018,933.25,2458481
31-07-2018,935.950012,2011316
01-08-2018,929.75,2000884
02-08-2018,911.299988,1652795
03-08-2018,920.650024,1575164
06-08-2018,932.400024,1702042
07-08-2018,927.0,5202007
08-08-2018,928.299988,2056171
09-08-2018,933.200012,2452570
10-08-2018,945.950012,3163115
13-08-2018,954.5,4285645
14-08-2018,950.450012,1801054
16-08-2018,951.25,1832039
17-08-2018,961.5,2246030
20-08-2018,969.549988,1877608
21-08-2018,957.799988,1557070
23-08-2018,963.099976,1978510
24-08-2018,968.299988,1634893
27-08-2018,976.450012,1635797
28-08-2018,980.5,1460036
29-08-2018,983.849976,1795568
30-08-2018,982.950012,1831626
31-08-2018,965.299988,2243187
03-09-2018,947.799988,2189450
04-09-2018,931.75,2067396
05-09-2018,929.400024,2133045
